Date,Open,High,Low,Close,Volume
08/28/2026,"175.97","176.84","175.30","176.56","256,035"
08/27/2026,"175.48","176.92","173.57","175.74","283,421"
08/26/2026,"173.48","177.44","173.00","175.94","385,241"
08/25/2026,"175.54","176.93","175.09","175.13","531,519"
08/24/2026,"178.50","179.49","176.33","177.87","345,729"
08/21/2026,"179.99","181.22","178.68","179.58","502,179"
08/20/2026,"180.35","182.15","179.50","179.72","605,592"
08/19/2026,"179.91","180.80","178.61","179.06","471,842"
08/18/2026,"178.41","179.43","177.77","179.21","590,386"
08/17/2026,"175.10","176.82","174.37","176.62","484,935"
08/14/2026,"172.98","175.33","172.91","174.68","438,787"
08/13/2026,"171.05","172.48","170.16","172.30","287,051"
08/12/2026,"171.05","172.75","170.37","172.29","399,760"
08/11/2026,"169.86","172.51","169.84","171.96","336,471"
08/10/2026,"164.40","170.14","164.04","170.07","595,126"
08/07/2026,"162.43","164.03","161.42","162.37","297,175"
08/06/2026,"164.41","165.00","162.69","164.12","340,689"
08/05/2026,"165.98","166.21","161.54","161.57","523,517"
08/04/2026,"163.53","165.80","161.32","165.25","521,369"
08/03/2026,"165.18","167.29","164.20","165.87","468,058"
07/31/2026,"165.72","168.36","164.51","167.97","383,040"
07/30/2026,"163.72","166.66","163.59","166.28","377,347"
07/29/2026,"166.20","166.90","164.48","165.14","529,192"
