Date,Open,High,Low,Close
08/28/2026,"14.57","14.84","14.13","14.43"
08/27/2026,"14.92","15.13","14.42","14.51"
08/26/2026,"15.65","15.74","15.21","15.21"
08/25/2026,"15.71","16.30","15.13","15.45"
08/24/2026,"15.90","16.06","15.61","15.85"
08/21/2026,"15.82","15.88","15.08","15.13"
08/20/2026,"14.91","16.14","14.91","16.01"
08/19/2026,"15.92","15.95","14.77","14.89"
08/18/2026,"15.81","16.09","15.60","15.84"
08/17/2026,"14.98","15.47","14.89","15.19"
08/14/2026,"14.64","14.72","14.18","14.25"
08/13/2026,"14.68","14.80","14.39","14.63"
08/12/2026,"15.28","15.42","14.39","14.55"
08/11/2026,"15.42","15.61","15.23","15.28"
08/10/2026,"15.40","15.72","15.10","15.46"
08/07/2026,"15.30","15.36","14.77","14.90"
08/06/2026,"15.83","16.03","15.11","15.15"
08/05/2026,"16.15","18.43","15.48","15.81"
08/04/2026,"15.76","16.65","15.51","16.50"
08/03/2026,"16.03","16.30","15.54","15.86"
07/31/2026,"16.82","18.70","15.82","15.99"
07/30/2026,"19.56","20.08","17.00","17.09"
07/29/2026,"18.27","20.88","17.45","20.66"
