"CUSIP","Interest Rate","Security Term","Original Auction Date","Maturity Date","Series","Original Issue Date","Dated Date","Reference CPI On Dated Date","Additional Issue Date"
"91282CRE3","2.375000","10-Year","2026-07-23","2036-07-15","D-2036","2026-07-31","2026-07-15","333.969740","null"
"91282CQP9","1.250000","5-Year","2026-04-23","2031-04-15","X-2031","2026-04-30","2026-04-15","325.967400","null"
"91282CPU9","1.875000","10-Year","2026-01-22","2036-01-15","A-2036","2026-01-30","2026-01-15","324.934710","null"
"91282CPH8","1.125000","5-Year","2025-10-23","2030-10-15","AE-2030","2025-10-31","2025-10-15","323.467100","null"
"91282CNS6","1.875000","10-Year","2025-07-24","2035-07-15","D-2035","2025-07-31","2025-07-15","321.097580","null"
"91282CNB3","1.625000","5-Year","2025-04-17","2030-04-15","X-2030","2025-04-30","2025-04-15","318.329470","null"
"91282CML2","2.125000","10-Year","2025-01-23","2035-01-15","A-2035","2025-01-31","2025-01-15","315.586770","null"
"91282CLV1","1.625000","5-Year","2024-10-24","2029-10-15","AE-2029","2024-10-31","2024-10-15","314.655610","null"
"91282CLE9","1.875000","10-Year","2024-07-18","2034-07-15","D-2034","2024-07-31","2024-07-15","313.783290","null"
"91282CKL4","2.125000","5-Year","2024-04-18","2029-04-15","X-2029","2024-04-30","2024-04-15","309.307870","null"
"91282CJY8","1.750000","10-Year","2024-01-18","2034-01-15","A-2034","2024-01-31","2024-01-15","307.391000","null"
"91282CJH5","2.375000","5-Year","2023-10-19","2028-10-15","AE-2028","2023-10-31","2023-10-15","306.293900","null"
"91282CHP9","1.375000","10-Year","2023-07-20","2033-07-15","D-2033","2023-07-31","2023-07-15","303.708030","null"
"91282CGW5","1.250000","5-Year","2023-04-20","2028-04-15","X-2028","2023-04-28","2023-04-15","299.949330","null"
"91282CGK1","1.125000","10-Year","2023-01-19","2033-01-15","A-2033","2023-01-31","2023-01-15","297.876060","null"
"91282CFR7","1.625000","5-Year","2022-10-20","2027-10-15","AE-2027","2022-10-31","2022-10-15","296.228580","null"
"91282CEZ0","0.625000","10-Year","2022-07-21","2032-07-15","D-2032","2022-07-29","2022-07-15","290.548290","null"
"91282CEJ6","0.125000","5-Year","2022-04-21","2027-04-15","X-2027","2022-04-29","2022-04-15","282.346400","null"
"91282CDX6","0.125000","10-Year","2022-01-20","2032-01-15","A-2032","2022-01-31","2022-01-15","277.202740","null"
"91282CDC2","0.125000","5-Year","2021-10-21","2026-10-15","AE-2026","2021-10-29","2021-10-15","273.257710","null"
"91282CCM1","0.125000","10-Year","2021-07-22","2031-07-15","D-2031","2021-07-30","2021-07-15","268.020900","null"
"91282CBF7","0.125000","10-Year","2021-01-21","2031-01-15","A-2031","2021-01-29","2021-01-15","260.316190","null"
"912828ZZ6","0.125000","10-Year","2020-07-23","2030-07-15","D-2030","2020-07-31","2020-07-15","256.391260","null"
"912828Z37","0.125000","10-Year","2020-01-23","2030-01-15","A-2030","2020-01-31","2020-01-15","257.283680","null"
"912828Y38","0.750000","10-Year","2018-07-19","2028-07-15","D-2028","2018-07-31","2018-07-15","251.016580","null"
"912828V49","0.375000","10-Year","2017-01-19","2027-01-15","A-2027","2017-01-31","2017-01-15","241.559190","null"
"9128287D6","0.250000","10-Year","2019-07-18","2029-07-15","D-2029","2019-07-31","2019-07-15","255.793680","null"
"9128285W6","0.875000","10-Year","2019-01-17","2029-01-15","A-2029","2019-01-31","2019-01-15","252.502480","null"
"9128283R9","0.500000","10-Year","2018-01-18","2028-01-15","A-2028","2018-01-31","2018-01-15","246.665710","null"
"9128282L3","0.375000","10-Year","2017-07-20","2027-07-15","D-2027","2017-07-31","2017-07-15","244.618390","null"
"912810US5","2.375000","30-Year","2026-02-19","2056-02-15","TIPS of February 2056","2026-02-27","2026-02-15","324.088000","null"
"912810UH9","2.375000","30-Year","2025-02-20","2055-02-15","TIPS of February 2055","2025-02-28","2025-02-15","315.549000","null"
"912810TY4","2.125000","30-Year","2024-02-22","2054-02-15","TIPS of February 2054","2024-02-29","2024-02-15","306.903760","null"
"912810TP3","1.500000","30-Year","2023-02-16","2053-02-15","TIPS of February 2053","2023-02-28","2023-02-15","297.254000","null"
"912810TE8","0.125000","30-Year","2022-02-17","2052-02-15","TIPS of February 2052","2022-02-28","2022-02-15","278.375000","null"
"912810SV1","0.125000","30-Year","2021-02-18","2051-02-15","TIPS of February 2051","2021-02-26","2021-02-15","260.351500","null"
"912810SM1","0.250000","30-Year","2020-02-20","2050-02-15","TIPS of February 2050","2020-02-28","2020-02-15","257.095030","null"
"912810SG4","1.000000","30-Year","2019-02-21","2049-02-15","TIPS of February 2049","2019-02-28","2019-02-15","251.635500","null"
"912810SB5","1.000000","30-Year","2018-02-15","2048-02-15","TIPS of February 2048","2018-02-28","2018-02-15","246.596500","null"
"912810RW0","0.875000","30-Year","2017-02-16","2047-02-15","TIPS of February 2047","2017-02-28","2017-02-15","241.392500","null"
"912810RR1","1.000000","30-Year","2016-02-18","2046-02-15","TIPS of February 2046","2016-02-29","2016-02-15","236.944480","null"
"912810RL4","0.750000","30-Year","2015-02-19","2045-02-15","TIPS of February 2045","2015-02-27","2015-02-15","235.481500","null"
"912810RF7","1.375000","30-Year","2014-02-20","2044-02-15","TIPS of February 2044","2014-02-28","2014-02-15","233.059000","null"
"912810RA8","0.625000","30-Year","2013-02-21","2043-02-15","TIPS of February 2043","2013-02-28","2013-02-15","229.911000","null"
"912810QV3","0.750000","30-Year","2012-02-16","2042-02-15","TIPS of February 2042","2012-02-29","2012-02-15","225.960620","null"
"912810QP6","2.125000","30-Year","2011-02-17","2041-02-15","TIPS of February 2041","2011-02-28","2011-02-15","218.991000","null"
"912810QF8","2.125000","30-Year","2010-02-22","2040-02-15","TIPS of February 2040","2010-02-26","2010-02-15","216.139500","null"
"912810PZ5","2.500000","20-Year","2009-01-26","2029-01-15","TIPS of January 2029","2009-01-30","2009-01-15","214.699710","null"
"912810PV4","1.750000","20-Year","2008-01-24","2028-01-15","TIPS of January 2028","2008-01-31","2008-01-15","209.496450","null"
"912810PS1","2.375000","20-Year","2007-01-23","2027-01-15","TIPS of January 2027","2007-01-31","2007-01-15","201.664520","null"
"912810FQ6","3.375000","30-Year 6-Month","2001-10-10","2032-04-15","TIPS of April 2032","2001-10-15","2001-10-15","177.500000","null"
"912810FH6","3.875000","30-Year","1999-04-07","2029-04-15","TIPS of April 2029","1999-04-15","1999-04-15","164.393330","null"
"912810FD5","3.625000","30-Year","1998-04-08","2028-04-15","TIPS of April 2028","1998-04-15","1998-04-15","161.740000","null"
